Feature_gbr,Importance_gbr,Feature_rf,Importance_rf
bedrooms,0.3552873776391263,bedrooms,0.3013731699622462
property_type_Private,0.2926853144658166,property_type_Private,0.2120054561489634
accommodates,0.1055983096897756,availability_pc1,0.09206201263522003
availability_pc1,0.05764858434176592,reviews_pc1,0.08895775238553813
bathrooms_text,0.040262494267308706,reviews_per_month,0.06774262727683895
reviews_pc1,0.03836125935293775,number_of_reviews_ltm,0.05454378231455911
Free street parking,0.03223150351434945,number_of_reviews,0.05847982842803039
reviews_per_month,0.030168576121635638,accommodates,0.035861135746425785
number_of_reviews,0.029142129532241344,nights_pc1,0.0637835100993635
Dishwasher,0.018614451075042664,bathrooms_text,0.025190725002814447
